time,socket,duration_sec,num_proc,num_threads,pkg_credit_frac,dram_credit_frac,total_pkg_joules,total_dram_joules,base_pkg_joules,base_dram_joules,ascribed_pkg_joules,ascribed_dram_joules,tracer_pkg_joules,tracer_dram_joules,pkg_percent,dram_percent
1753104326.4736652,0,1.0001766140012478,2,1,0.0,0.00029294887673703395,8.037333000000217,4.189076999999088,8.039719675642333,3.3024831618129515,0.0,0.17421400949601734,0.0,0.33139570960676273,3.9714285714285715,44.06860916263443
1753104327.462015,0,1.000332065999828,2,1,0.0,0.000292964429189802,8.850562999999966,4.8310419999997976,8.040969245442414,3.30299644876707,0.0,0.30026124386992903,0.3217581221751035,0.5711669702542443,4.678571428571429,44.07180520232988
1753104328.4633868,0,1.000733142001991,2,1,0.0,0.00029295021406653917,7.916849999994156,4.05577600000106,8.044193214670326,3.3043207616186288,0.0,0.14765966547783918,0.0,0.2808831491961293,3.892857142857143,44.07174191441512
1753104329.467368,0,1.0026446209994901,2,1,0.0,0.0002929474959949249,8.178690000000643,4.370593999999983,8.059558256294617,3.310632274120552,0.0,0.20828027463535537,0.04874255287006111,0.3961976973582767,4.25,44.07215328586107
1753104330.4720683,0,1.0012988449998375,2,1,0.0,0.00029294540086490694,8.005839000004926,4.149830999998812,8.048740505077529,3.306188656347242,0.0,0.1657737288065982,0.0,0.31534032567729603,4.178571428571429,44.07215328586107
1753104331.4749184,0,1.000576185000682,2,1,0.0,0.0002929519292121697,8.15567999999621,3.834768000000622,8.04293154720681,3.3038025052960003,0.0,0.10433393118890923,0.046368021936600876,0.19846748985593007,4.25,44.05433773785576
1753104332.474678,0,1.0020578849980666,2,1,0.0,0.00029307280438171235,7.916727000003448,4.112660000000687,8.054841896294775,3.3086949305174267,0.0,0.15799097674383056,0.0,0.3005357146704336,3.8214285714285716,44.05436938181314
1753104333.4768956,0,1.0024674199994479,2,1,0.0,0.00029306049995569597,8.129130000001169,4.533191999998962,8.058133861496097,3.310047174138505,0.0,0.2403639540950752,0.028481898837682353,0.45722834438894977,4.535714285714286,44.058261588570964
1753104334.482316,0,1.0001507970009698,2,1,0.0,0.000293039104544697,8.027505999998539,4.421924000000217,8.039512150849015,3.302397916659732,0.0,0.21999830368878273,0.0,0.41848812374009986,3.7142857142857144,44.057945148997156
1753104335.4822066,0,1.0001922919982462,2,1,0.0,0.00029304611489709974,8.206583000006503,4.2548110000007,8.039845700085595,3.3025349289912413,0.0,0.18713286428943668,0.06929672861033612,0.3559703868325331,4.071428571428571,44.05838816440048
1753104336.4766073,0,1.0011455900021247,2,1,0.0,0.00029304220422013687,8.028604999999516,4.386646999999357,8.047508595429518,3.3056826236702874,0.0,0.21242098399819936,0.0,0.40409019710917754,4.214285714285714,44.05531870053456
1753104337.4835563,0,1.000178385998879,2,1,0.0,0.0002930431807971429,8.255105999996886,4.5054199999995035,8.03973391949089,3.30248901277193,0.0,0.23638887635504868,0.09464330417760893,0.44970221299401364,4.5,44.05595157968217
